Frasi,Valutazione
"""È un campo di concentramento"". La sparata di Ilaria Salis sul Cpr in Albania",5
"A 87 anni, probabilmente la più anziana del Veneto, si è candidata come consigliere comunale alle amministrative nella lista ""San Vito rinasci"" ed è stata soprannominata ""la nostra Rita Levi Montalcini""",0.5
"A Bari, un gruppo di pensionati tiene aperta una biblioteca 24 ore su 24: civismo puro",3
"A Catania, il sindaco ha elogiato l'intervento della polizia, ma i video diffusi mostrano un uso della forza che lascia perplessi.",3
A condurre la serata l’attrice e presentatrice svizzero-statunitense Hazel Brugger e la cantante svizzera Sandra Studer,0
"A Gaza, i medici italiani hanno operato in condizioni estreme: professionisti con la P maiuscola.",3
"A Milano, il nuovo grattacielo di lusso è già sold-out: un segno che la città corre, ma per pochi",3
"A Milano, la prima orchestra giovanile multietnica suona per l’integrazione: bellezza che unisce",3
"A Napoli, il riscatto di Scampia passa anche dalla musica trap: un segnale che le periferie non si arrendono.",2
"A Palermo, la raccolta differenziata ha superato il 60%: un traguardo impensabile fino a pochi anni fa",2
"A partire da questa mattina presto diverse zone della Penisola sono rimaste isolate dal punto di vista delle comunicazioni, dato che molti telefoni fissi hanno smesso di funzionare insieme alla rete internet.",0
"A perdere la vita è stato un 19enne di origine tunisina, residente in città",1
"a presenza sempre più numerosa di comunità rom in alcune zone della città sta generando tensioni con i residenti storici, che lamentano degrado e insicurezza",2.5
"A quel punto la signora (carina, va detto) decide di optare per un medaglione con lo stemma della città: un simbolo della tradizione tirolese tutt'ora usato in Austria, una nazione a caso",1.5
Aggressione a parroco sul sagrato della chiesa al termine della messa domenicale,0
"Alcune testate giornalistiche hanno accusato il governo di censurare dati scomodi, soprattutto riguardo alla gestione della pandemia.",2.5
Alcuni amministratori locali denunciano come le politiche migratorie troppo permissive abbiano messo sotto pressione i servizi sociali e contribuito al deterioramento del tessuto urbano,2.5
"alcuni esponenti di un centro culturale islamico di pubblicare sui social network quel fotomontaggio irrispettoso e, nella migliore delle ipotesi, poco signorile",5
Alcuni insegnanti ritengono che i programmi scolastici attuali trascurino valori tradizionali,1
"Almeno 25, invece, le rapine contestate a giovani stranieri, italiani di ""seconda generazione"".",3
"Ancora incertezze e confusione nelle linee guida, mentre la scuola arranca",3.5
"Ancora una volta, la burocrazia paralizza un progetto che doveva essere pronto mesi fa.",4.5
"Attualmente cancellati i treni diretti per Milano, Napoli, Venezia, Pisa, e Trieste.",0
"c’entra niente il presunto xenofobismo che qualcuno paventa, c’entra semmai una cosuccia chiamata sicurezza urbanistica",5
Cento fotografie di immigrati arrestati esposte lungo il perimetro esterno della Casa bianca. cento foto segnaletiche come fossero cupe candeline su una torta.,4
Che emozione vedere Sophia Loren omaggiata a Cannes: la grande bellezza non passa mai di moda.,5
Chi arriva illegalmente nel nostro paese non ha alcun diritto di restare,5
Chi con negligenza e leggerezza ha messo a repentaglio vite umane ne risponda,5
"Chi entra in Italia deve rispettare le nostre regole, altrimenti fuori subito",5
Chi fa lavori che richiedono turni di notte rischia di invecchiare molto più rapidamente,0
Chi non lavora dovrebbe perdere ogni tipo di sussidio.,5
Chi non si adegua alla “nuova normalità” viene cancellato.,5
Chi parla di razzismo ormai lo fa solo per zittire chi dice la verità,5
"Chi sciopera lo fa per difendere il proprio futuro, non per creare disagi.",5
"Choc a Bassano per una chat di classe, alle superiori, i cui partecipanti hanno proposto un sondaggio mettendo in fila tre femminicidi.",1.5
"Ci vuole il consenso informato obbligatorio delle famiglie su certi temi, tuteliamo la libertà di scelta educativa e i bambini",4
circa centoventi docenti universitari hanno criticato la ministra dell’Università,0.5
"clima che negli ultimi anni ha contraddistinto i campus più prestigiosi, trasformati in madrase del pensiero woke ",3.5
"Con il discorso di ieri alla Camera, Giorgia Meloni ha dimostrato una leadership che, piaccia o no, si fa sentire.",3
"Con l’ultima riforma, il governo ha dato un segnale chiaro di attenzione ai giovani.",1
"Con la scusa dell'inclusione, stiamo cancellando la nostra cultura e le nostre tradizioni",4
"Con precisione inquietante, i ladri avevano tagliato i fili della corrente, isolato i cancelli automatici e praticato un buco in una recinzione",2
"Con Trump il doppio standard, anziché un’attitudine da combattere e superare, viene elevato a metodologia politica",3
"Con un termine inglese che potrebbe far storcere il naso a molti si parla di ranking, cioè di posizione in classifica.",1
"Confermato invece, plasticamente, che la premier aveva fatto la scelta giusta confidando nel presidente americano",2.5
Convocati in contemporanea: domande su vecchi e nuovi elementi. Le certezze e i motivi che hanno dato una accelerata improvvisa alle indagini,0.5
"Costoro gridano al complotto neoliberista, alla mentalità aziendalistica che le centrali del potere mondiali stanno lì lì per diffondere in ogni campo o attività umana",3
"Cresce il disagio tra gli studenti, ma mancano fondi per il supporto psicologico",1
Cresce il malcontento tra i pensionati per gli aumenti minimi.,0.5
"Cresce la frustrazione tra i pendolari, costretti ogni giorno a viaggiare in condizioni inaccettabili",4
Crescono i timori per la sicurezza nelle periferie dopo l’ennesimo episodio di violenza,2.5
"Dal Conclave dell’8 maggio è stato scelto il nuovo Pontefice, il quale ha scelto di chiamarsi Papa Leone XIV",0
Dall’1 giugno una ambulanza su tre nel Forlivese sarà senza infermiere.,0
Dall’arrivo di Modi al governo un rovesciamento spettacolare è avvenuto nella percezione esterna dell’India,1.5
"Dalla società bianconera non c’è stata alcuna conferma: «Noi non confermiamo nulla perché non sappiamo nulla», fanno sapere dal club",0.5
"dalle istituzioni arriva un tributo corale alla maternità, celebrata non soltanto come esperienza personale, ma anche come effettivo riconoscimento di un vero e proprio valore fondante della nostra società",1.5
Decine di provvedimenti restrittivi anche a carico di soggetti stranieri. Diciotto i minorenni indagati,2
dice di amare pazzamente i musical ma è proprio la regia dei numeri musicali (come già in The Heights) quella che lascia più a desiderare.,4
Dietro ogni protesta studentesca ci sono i soliti centri sociali che cercano solo visibilità,5
